neighbourhood_158,occ_year,total_collisions,fatalities,injury_collisions,pd_collisions,ftr_collisions,pedestrian_collisions,bicycle_collisions,motorcycle_collisions,automobile_collisions
South Riverdale (70),2025,726,0,101,470,157,14,22,4,719
St Lawrence-East Bayfront-The Islands (166),2014,692,0,79,496,124,23,8,7,688
St Lawrence-East Bayfront-The Islands (166),2015,844,0,121,616,126,27,15,14,832
St Lawrence-East Bayfront-The Islands (166),2016,952,2,145,668,154,22,29,13,944
St Lawrence-East Bayfront-The Islands (166),2017,1040,1,130,789,142,29,15,11,1026
St Lawrence-East Bayfront-The Islands (166),2018,1135,0,113,851,186,22,13,12,1098
St Lawrence-East Bayfront-The Islands (166),2019,1253,0,121,1019,161,24,14,8,1227
St Lawrence-East Bayfront-The Islands (166),2020,523,2,39,432,58,10,17,3,517
St Lawrence-East Bayfront-The Islands (166),2021,681,2,68,550,88,14,17,9,676
St Lawrence-East Bayfront-The Islands (166),2022,1054,0,87,903,95,19,17,6,1047
St Lawrence-East Bayfront-The Islands (166),2023,1080,1,102,804,182,21,23,7,1060
St Lawrence-East Bayfront-The Islands (166),2024,961,5,106,657,202,12,22,3,950
St Lawrence-East Bayfront-The Islands (166),2025,904,1,117,603,186,18,28,6,893
St.Andrew-Windfields (40),2014,682,0,75,529,83,7,3,4,675
St.Andrew-Windfields (40),2015,726,0,95,544,92,11,2,6,721
St.Andrew-Windfields (40),2016,698,0,112,504,85,11,3,1,694
St.Andrew-Windfields (40),2017,769,2,118,572,84,7,5,4,764
St.Andrew-Windfields (40),2018,716,0,83,572,67,10,4,3,702
St.Andrew-Windfields (40),2019,734,0,79,605,65,7,2,2,726
St.Andrew-Windfields (40),2020,329,0,34,264,38,5,0,1,327
St.Andrew-Windfields (40),2021,320,0,46,246,38,6,4,1,319
St.Andrew-Windfields (40),2022,475,0,47,405,31,8,4,1,474
St.Andrew-Windfields (40),2023,634,0,82,451,112,9,2,1,634
St.Andrew-Windfields (40),2024,691,0,100,499,94,12,6,3,687
St.Andrew-Windfields (40),2025,591,0,94,403,98,9,11,3,587
Steeles (116),2014,410,1,59,291,60,9,3,0,410
Steeles (116),2015,397,0,91,258,52,17,8,1,395
Steeles (116),2016,385,0,77,265,44,11,5,0,385
Steeles (116),2017,392,0,75,284,36,9,4,2,390
Steeles (116),2018,350,2,68,239,45,13,3,2,342
Steeles (116),2019,368,2,74,247,50,14,5,0,363
Steeles (116),2020,158,0,26,115,19,6,3,1,155
Steeles (116),2021,136,1,22,101,16,4,5,0,136
Steeles (116),2022,206,0,33,164,14,2,4,1,205
Steeles (116),2023,241,0,28,174,44,9,4,1,240
Steeles (116),2024,226,0,40,153,37,5,5,0,225
Steeles (116),2025,237,0,46,146,45,7,7,0,234
Stonegate-Queensway (16),2014,471,0,68,344,66,16,9,3,468
Stonegate-Queensway (16),2015,514,1,62,363,97,9,7,2,509
Stonegate-Queensway (16),2016,515,0,79,362,84,6,11,5,514
Stonegate-Queensway (16),2017,498,0,62,362,90,7,9,5,486
Stonegate-Queensway (16),2018,531,0,70,398,81,17,4,2,508
Stonegate-Queensway (16),2019,535,1,57,425,79,12,7,3,524
Stonegate-Queensway (16),2020,345,0,39,282,36,5,8,3,341
Stonegate-Queensway (16),2021,290,1,29,237,44,6,4,1,288
Stonegate-Queensway (16),2022,430,1,49,356,26,14,6,3,425
Stonegate-Queensway (16),2023,476,0,70,316,92,16,12,2,474
Stonegate-Queensway (16),2024,469,0,74,299,99,8,12,2,462
Stonegate-Queensway (16),2025,547,0,78,363,107,12,7,2,541
Tam O'Shanter-Sullivan (118),2014,487,1,66,331,89,14,7,4,483
Tam O'Shanter-Sullivan (118),2015,531,0,81,359,96,14,6,7,527
Tam O'Shanter-Sullivan (118),2016,632,1,95,445,100,13,4,2,630
Tam O'Shanter-Sullivan (118),2017,628,0,89,429,118,16,2,2,626
Tam O'Shanter-Sullivan (118),2018,561,1,95,371,103,16,5,6,546
Tam O'Shanter-Sullivan (118),2019,606,1,85,435,99,15,5,2,593
Tam O'Shanter-Sullivan (118),2020,359,2,43,278,44,13,3,2,357
Tam O'Shanter-Sullivan (118),2021,287,2,36,214,42,9,7,1,287
Tam O'Shanter-Sullivan (118),2022,420,0,42,351,49,4,5,3,417
Tam O'Shanter-Sullivan (118),2023,481,0,56,337,102,11,6,0,478
Tam O'Shanter-Sullivan (118),2024,466,2,62,298,112,11,4,2,461
Tam O'Shanter-Sullivan (118),2025,486,1,68,323,95,11,3,1,484
Taylor-Massey (61),2014,94,0,20,55,19,6,2,0,94
Taylor-Massey (61),2015,110,0,17,61,35,7,3,1,107
Taylor-Massey (61),2016,97,1,14,58,27,5,4,1,97
Taylor-Massey (61),2017,102,0,16,64,28,6,1,1,101
Taylor-Massey (61),2018,119,0,13,81,32,4,1,0,115
Taylor-Massey (61),2019,140,0,22,82,46,4,4,0,138
Taylor-Massey (61),2020,80,0,10,61,10,3,3,1,77
Taylor-Massey (61),2021,64,0,8,42,18,0,1,0,64
Taylor-Massey (61),2022,106,0,11,83,22,2,2,0,106
Taylor-Massey (61),2023,127,1,11,85,35,6,3,0,126
Taylor-Massey (61),2024,150,0,14,91,47,9,1,1,146
Taylor-Massey (61),2025,137,0,16,81,41,4,3,2,136
The Beaches (63),2014,317,0,37,209,73,13,7,7,317
The Beaches (63),2015,341,0,44,239,62,4,11,5,339
The Beaches (63),2016,339,1,39,237,69,6,4,6,337
The Beaches (63),2017,478,0,65,337,86,10,6,3,472
The Beaches (63),2018,466,0,47,349,75,4,4,1,454
The Beaches (63),2019,553,0,69,414,90,10,10,12,541
The Beaches (63),2020,318,0,24,262,38,5,5,1,316
The Beaches (63),2021,317,0,43,231,52,11,15,5,312
The Beaches (63),2022,338,1,20,285,63,4,11,4,335
The Beaches (63),2023,324,0,27,225,82,2,8,0,322
The Beaches (63),2024,281,0,26,187,71,6,5,4,277
The Beaches (63),2025,356,0,37,208,111,6,7,3,354
Thistletown-Beaumond Heights (3),2014,218,0,41,141,39,8,1,0,217
Thistletown-Beaumond Heights (3),2015,243,0,59,143,47,8,4,0,242
Thistletown-Beaumond Heights (3),2016,256,1,59,157,47,8,1,0,255
Thistletown-Beaumond Heights (3),2017,272,0,60,174,48,11,1,1,268
Thistletown-Beaumond Heights (3),2018,271,0,41,193,44,3,2,2,261
Thistletown-Beaumond Heights (3),2019,314,1,38,236,57,5,2,1,306
Thistletown-Beaumond Heights (3),2020,193,0,28,149,25,5,1,1,192
Thistletown-Beaumond Heights (3),2021,196,1,26,147,35,4,1,0,195
Thistletown-Beaumond Heights (3),2022,268,0,40,217,13,9,2,0,264
Thistletown-Beaumond Heights (3),2023,261,0,46,176,40,3,1,1,259
Thistletown-Beaumond Heights (3),2024,252,0,56,142,54,5,4,0,249
Thistletown-Beaumond Heights (3),2025,236,0,47,146,44,10,4,1,236
Thorncliffe Park (55),2014,318,0,22,221,77,10,3,1,317
Thorncliffe Park (55),2015,348,0,33,233,87,11,3,1,345
Thorncliffe Park (55),2016,333,0,47,229,63,10,7,1,330
Thorncliffe Park (55),2017,329,0,55,206,74,12,4,2,326
Thorncliffe Park (55),2018,344,0,29,242,74,5,2,1,341
Thorncliffe Park (55),2019,403,0,43,277,95,17,2,1,396
Thorncliffe Park (55),2020,244,0,17,193,36,6,4,0,242
Thorncliffe Park (55),2021,234,0,25,161,56,4,5,0,231
Thorncliffe Park (55),2022,349,0,42,287,41,10,7,0,346
Thorncliffe Park (55),2023,428,0,32,279,133,14,2,3,423
Thorncliffe Park (55),2024,439,0,50,269,121,11,5,1,432
Thorncliffe Park (55),2025,393,0,47,232,115,13,3,2,389
Trinity-Bellwoods (81),2014,361,1,65,222,82,17,35,7,354
Trinity-Bellwoods (81),2015,345,0,63,211,81,18,36,5,339
Trinity-Bellwoods (81),2016,380,0,63,240,95,19,27,4,377
Trinity-Bellwoods (81),2017,371,0,47,245,88,11,20,7,367
Trinity-Bellwoods (81),2018,412,0,49,284,96,16,17,4,397
Trinity-Bellwoods (81),2019,388,0,36,287,93,10,17,5,380
Trinity-Bellwoods (81),2020,214,0,28,158,38,9,16,1,210
Trinity-Bellwoods (81),2021,226,0,28,165,48,6,18,0,223
Trinity-Bellwoods (81),2022,281,0,22,238,26,7,19,2,271
Trinity-Bellwoods (81),2023,384,0,53,245,90,8,34,0,379
Trinity-Bellwoods (81),2024,431,0,66,264,105,14,36,4,413
Trinity-Bellwoods (81),2025,431,0,54,279,98,13,29,3,417
University (79),2014,280,0,49,176,57,7,29,8,276
University (79),2015,272,0,50,171,59,15,22,5,268
University (79),2016,340,0,75,203,67,17,25,7,336
University (79),2017,325,0,68,218,53,20,27,3,316
University (79),2018,328,1,48,224,73,15,16,2,312
University (79),2019,327,1,38,252,51,13,17,2,318
University (79),2020,145,0,20,108,23,3,12,0,145
University (79),2021,162,0,17,123,29,3,11,1,160
University (79),2022,236,0,26,194,25,8,14,1,229
University (79),2023,307,0,34,224,54,7,23,2,295
University (79),2024,298,0,46,186,69,9,25,3,286
University (79),2025,239,0,46,138,55,10,22,1,230
Victoria Village (43),2014,182,0,32,127,24,7,2,1,178
Victoria Village (43),2015,194,0,19,144,36,3,1,2,191
Victoria Village (43),2016,202,0,38,146,23,5,3,1,200
Victoria Village (43),2017,236,0,37,167,36,2,1,4,233
Victoria Village (43),2018,209,0,29,148,38,1,1,2,208
Victoria Village (43),2019,209,0,31,145,36,5,2,0,206
Victoria Village (43),2020,113,0,11,89,20,3,1,1,112
Victoria Village (43),2021,109,0,10,87,14,2,0,0,108
Victoria Village (43),2022,142,1,19,116,12,4,2,1,141
Victoria Village (43),2023,184,0,21,129,36,3,1,0,182
Victoria Village (43),2024,205,0,21,136,48,2,1,1,203
Victoria Village (43),2025,187,0,24,124,42,2,2,1,186
Wellington Place (164),2014,641,0,86,427,139,30,34,11,634
Wellington Place (164),2015,693,0,107,446,156,31,42,17,684
Wellington Place (164),2016,776,0,121,520,166,40,42,9,764
Wellington Place (164),2017,885,0,105,616,186,27,44,6,865
Wellington Place (164),2018,867,0,85,648,172,29,33,8,843
Wellington Place (164),2019,860,0,69,683,151,28,16,10,837
Wellington Place (164),2020,353,0,50,265,57,26,16,3,349
Wellington Place (164),2021,398,0,41,309,70,12,27,4,395
Wellington Place (164),2022,624,1,52,511,78,23,35,6,603
Wellington Place (164),2023,694,0,72,478,161,18,43,9,676
Wellington Place (164),2024,685,0,88,435,170,20,41,2,670
Wellington Place (164),2025,701,1,93,466,146,24,46,6,683
West Hill (136),2014,386,0,60,268,60,21,6,0,384
West Hill (136),2015,466,0,81,306,89,15,4,4,462
West Hill (136),2016,435,0,86,272,91,13,5,3,432
West Hill (136),2017,468,0,93,311,77,17,5,3,465
West Hill (136),2018,516,0,97,349,89,24,5,4,508
West Hill (136),2019,461,1,73,319,84,15,9,5,450
West Hill (136),2020,357,2,72,252,46,15,11,3,352
West Hill (136),2021,357,0,67,238,61,7,6,3,356
West Hill (136),2022,418,0,79,313,53,21,2,3,416
West Hill (136),2023,495,0,78,327,104,10,5,0,493
West Hill (136),2024,525,0,84,338,106,19,4,1,520
West Hill (136),2025,528,4,87,347,96,23,7,4,523
West Humber-Clairville (1),2014,1222,2,184,789,261,29,7,5,1210
West Humber-Clairville (1),2015,1336,1,230,860,272,26,11,10,1330
West Humber-Clairville (1),2016,1489,2,295,943,292,31,16,9,1476
West Humber-Clairville (1),2017,1562,1,294,950,353,32,6,7,1541
West Humber-Clairville (1),2018,1636,1,248,1067,372,28,11,9,1587
West Humber-Clairville (1),2019,1604,3,193,1229,272,31,10,7,1573
West Humber-Clairville (1),2020,890,0,107,672,144,15,4,2,881
West Humber-Clairville (1),2021,837,2,129,627,141,11,8,2,832
West Humber-Clairville (1),2022,1284,2,147,1069,78,22,8,4,1278
West Humber-Clairville (1),2023,1366,2,224,902,245,30,11,2,1359
West Humber-Clairville (1),2024,1397,2,272,806,320,29,7,5,1387
West Humber-Clairville (1),2025,1345,0,245,813,288,24,10,6,1337
West Queen West (162),2014,188,0,30,123,38,10,13,3,184
West Queen West (162),2015,235,0,51,143,46,16,21,4,232
West Queen West (162),2016,239,0,30,170,46,9,11,1,235
West Queen West (162),2017,213,0,39,132,52,15,9,4,208
West Queen West (162),2018,234,0,25,179,41,5,9,3,225
West Queen West (162),2019,241,0,26,186,47,11,11,5,234
West Queen West (162),2020,122,0,16,86,28,2,12,2,120
West Queen West (162),2021,123,0,17,96,18,10,9,0,121
West Queen West (162),2022,158,0,18,122,23,6,20,2,152
West Queen West (162),2023,147,0,16,101,32,3,8,1,143
West Queen West (162),2024,155,0,19,95,41,6,13,2,145
West Queen West (162),2025,136,1,26,69,42,7,14,1,128
West Rouge (143),2014,228,0,39,151,38,5,3,2,226
West Rouge (143),2015,254,1,27,182,48,7,3,0,252
West Rouge (143),2016,275,0,46,189,47,10,2,3,275
West Rouge (143),2017,241,0,48,164,42,9,3,4,238
West Rouge (143),2018,294,0,42,205,56,9,3,0,288
West Rouge (143),2019,287,1,42,208,42,4,0,0,282
West Rouge (143),2020,175,0,27,133,19,6,2,2,172
West Rouge (143),2021,185,1,32,127,32,6,2,2,183
West Rouge (143),2022,214,0,28,169,30,5,5,0,211
West Rouge (143),2023,247,0,34,168,51,6,1,0,245
West Rouge (143),2024,260,1,42,162,57,2,4,3,260
West Rouge (143),2025,263,0,35,162,67,4,5,1,260
Westminster-Branson (35),2014,134,1,30,76,27,11,3,1,133
Westminster-Branson (35),2015,139,1,22,83,37,8,1,1,139
Westminster-Branson (35),2016,148,0,24,86,41,7,4,1,145
Westminster-Branson (35),2017,128,0,28,68,37,10,4,0,127
Westminster-Branson (35),2018,143,0,15,91,39,6,2,1,142
Westminster-Branson (35),2019,117,0,20,86,26,4,1,0,114
Westminster-Branson (35),2020,100,0,18,67,23,6,4,0,99
Westminster-Branson (35),2021,75,0,11,52,19,2,4,0,75
Westminster-Branson (35),2022,109,1,14,84,11,6,4,0,108
Westminster-Branson (35),2023,105,0,11,73,21,4,0,1,104
Westminster-Branson (35),2024,116,0,15,64,37,3,4,0,114
Westminster-Branson (35),2025,131,0,26,74,32,9,3,0,130
Weston-Pelham Park (91),2014,138,0,21,86,34,4,5,0,136
Weston-Pelham Park (91),2015,143,0,26,81,40,8,8,1,143
Weston-Pelham Park (91),2016,149,0,22,93,38,6,2,1,147
Weston-Pelham Park (91),2017,179,0,19,128,39,5,3,1,177
Weston-Pelham Park (91),2018,172,0,31,114,32,7,7,0,167
Weston-Pelham Park (91),2019,234,0,23,184,37,8,5,1,232
Weston-Pelham Park (91),2020,135,0,16,101,26,4,4,0,135
Weston-Pelham Park (91),2021,118,0,11,97,23,6,3,0,116
Weston-Pelham Park (91),2022,129,0,16,103,12,3,2,1,129
Weston-Pelham Park (91),2023,146,0,16,94,36,1,2,0,146
Weston-Pelham Park (91),2024,165,0,30,99,40,2,6,1,163
Weston-Pelham Park (91),2025,160,0,19,106,35,4,3,0,157
Weston (113),2014,243,0,32,157,59,9,1,1,241
Weston (113),2015,265,0,60,161,52,17,2,2,265
Weston (113),2016,253,0,55,158,52,13,1,1,252
Weston (113),2017,295,0,55,186,64,11,4,3,290
Weston (113),2018,327,0,53,201,87,16,3,2,322
Weston (113),2019,287,0,47,219,47,13,2,2,285
Weston (113),2020,179,0,24,130,34,6,3,3,178
Weston (113),2021,183,1,29,124,43,12,4,2,182
Weston (113),2022,195,0,25,153,19,7,0,3,194
Weston (113),2023,246,0,52,147,48,16,4,0,243
Weston (113),2024,262,0,43,149,72,13,4,1,260
Weston (113),2025,261,0,56,148,58,12,3,1,260
Wexford/Maryvale (119),2014,1425,2,203,1016,210,39,13,6,1418
Wexford/Maryvale (119),2015,1579,1,238,1082,280,34,14,6,1574
Wexford/Maryvale (119),2016,1690,1,278,1138,299,27,11,13,1685
Wexford/Maryvale (119),2017,1754,5,299,1197,275,42,12,11,1738
Wexford/Maryvale (119),2018,1871,0,281,1349,261,25,10,9,1842
Wexford/Maryvale (119),2019,1929,3,271,1401,297,41,6,9,1908
Wexford/Maryvale (119),2020,1103,1,152,844,121,21,9,6,1093
Wexford/Maryvale (119),2021,1108,2,150,834,142,19,10,3,1104
Wexford/Maryvale (119),2022,1493,0,193,1212,172,24,13,4,1485
Wexford/Maryvale (119),2023,1669,3,209,1175,341,33,20,9,1667
Wexford/Maryvale (119),2024,1961,0,260,1334,394,28,19,7,1951
Wexford/Maryvale (119),2025,1966,1,267,1345,360,41,19,8,1948
Willowdale West (37),2014,134,0,17,91,27,3,2,2,133
Willowdale West (37),2015,130,0,6,99,28,1,2,0,128
Willowdale West (37),2016,142,0,16,93,35,4,5,1,137
Willowdale West (37),2017,173,0,16,122,41,4,2,1,171
Willowdale West (37),2018,132,1,7,90,38,3,0,1,128
Willowdale West (37),2019,162,0,16,124,31,8,2,1,158
Willowdale West (37),2020,90,0,9,68,17,5,2,0,89
Willowdale West (37),2021,56,0,6,43,12,1,1,0,56
Willowdale West (37),2022,113,0,4,101,12,1,0,2,110
Willowdale West (37),2023,137,0,16,96,27,3,5,1,137
Willowdale West (37),2024,138,0,14,91,33,3,2,0,137
Willowdale West (37),2025,120,0,12,82,26,3,2,0,117
Willowridge-Martingrove-Richview (7),2014,269,0,35,183,53,3,2,2,269
Willowridge-Martingrove-Richview (7),2015,270,2,46,189,39,7,6,4,269
Willowridge-Martingrove-Richview (7),2016,254,0,44,172,42,5,3,2,251
Willowridge-Martingrove-Richview (7),2017,275,0,45,201,34,9,4,0,273
Willowridge-Martingrove-Richview (7),2018,301,0,51,212,47,6,3,0,290
Willowridge-Martingrove-Richview (7),2019,358,0,54,276,50,6,1,1,350
Willowridge-Martingrove-Richview (7),2020,173,0,29,134,16,5,4,1,172
Willowridge-Martingrove-Richview (7),2021,164,0,19,133,23,4,5,1,164
Willowridge-Martingrove-Richview (7),2022,262,0,35,218,10,9,2,1,259
Willowridge-Martingrove-Richview (7),2023,357,0,58,249,52,8,6,1,354
Willowridge-Martingrove-Richview (7),2024,318,0,57,207,54,4,5,1,316
Willowridge-Martingrove-Richview (7),2025,333,0,47,229,58,8,5,1,329
Woburn North (142),2014,751,2,103,522,128,14,6,2,749
Woburn North (142),2015,816,2,153,565,118,18,6,1,812
Woburn North (142),2016,912,0,145,648,125,13,2,2,907
Woburn North (142),2017,951,0,205,647,118,21,5,2,945
Woburn North (142),2018,936,1,176,650,129,21,2,8,913
Woburn North (142),2019,940,3,162,663,136,17,3,1,933
Woburn North (142),2020,498,0,88,372,52,10,3,1,496
Woburn North (142),2021,434,0,68,324,48,8,4,2,431
Woburn North (142),2022,698,0,76,578,78,6,3,2,696
Woburn North (142),2023,902,0,141,622,166,22,4,0,900
Woburn North (142),2024,965,0,154,643,180,24,8,2,957
Woburn North (142),2025,936,1,143,634,165,21,7,2,932
Woodbine-Lumsden (60),2014,119,0,18,88,15,3,5,0,119
Woodbine-Lumsden (60),2015,100,0,19,66,16,5,1,1,100
Woodbine-Lumsden (60),2016,117,1,23,78,19,4,2,2,115
Woodbine-Lumsden (60),2017,102,0,10,81,12,1,0,0,102
Woodbine-Lumsden (60),2018,106,0,16,71,21,3,0,2,105
Woodbine-Lumsden (60),2019,102,0,15,73,15,2,3,0,101
Woodbine-Lumsden (60),2020,72,0,13,52,10,2,4,0,72
Woodbine-Lumsden (60),2021,82,0,13,62,12,2,3,1,82
Woodbine-Lumsden (60),2022,94,0,8,82,11,2,3,1,94
Woodbine-Lumsden (60),2023,96,0,17,52,31,4,3,2,93
Woodbine-Lumsden (60),2024,99,0,17,59,24,1,4,0,98
Woodbine-Lumsden (60),2025,74,0,12,52,10,0,5,0,73
Woodbine Corridor (64),2014,137,0,15,90,33,6,4,1,135
Woodbine Corridor (64),2015,116,0,14,82,27,7,4,2,116
Woodbine Corridor (64),2016,140,0,27,93,24,9,2,3,138
Woodbine Corridor (64),2017,121,0,16,87,23,5,5,3,119
Woodbine Corridor (64),2018,138,0,21,96,25,3,2,1,135
Woodbine Corridor (64),2019,140,0,17,102,24,0,3,0,139
Woodbine Corridor (64),2020,100,0,13,81,8,5,4,1,98
Woodbine Corridor (64),2021,97,1,8,81,11,2,4,0,97
Woodbine Corridor (64),2022,123,0,18,93,20,3,4,2,122
Woodbine Corridor (64),2023,117,0,17,65,41,5,3,2,114
Woodbine Corridor (64),2024,128,0,15,86,27,1,1,1,127
Woodbine Corridor (64),2025,145,0,19,83,43,4,2,1,143
Wychwood (94),2014,190,0,30,126,35,9,12,5,186
Wychwood (94),2015,205,1,21,146,43,6,4,2,204
Wychwood (94),2016,232,2,42,150,41,7,15,4,230
Wychwood (94),2017,261,0,46,172,51,12,8,3,258
Wychwood (94),2018,230,0,35,149,50,9,9,1,228
Wychwood (94),2019,265,1,32,198,49,12,6,4,261
Wychwood (94),2020,130,0,9,106,22,5,5,1,130
Wychwood (94),2021,120,0,14,88,25,6,3,2,120
Wychwood (94),2022,168,0,17,141,11,5,6,0,167
Wychwood (94),2023,248,1,28,180,42,10,8,2,243
Wychwood (94),2024,272,0,38,164,71,7,12,0,269
Wychwood (94),2025,229,0,32,148,49,7,8,0,224
Yonge-Bay Corridor (170),2014,750,0,110,532,117,30,36,13,739
Yonge-Bay Corridor (170),2015,870,0,126,627,132,45,39,15,865
Yonge-Bay Corridor (170),2016,912,0,136,622,168,35,29,10,903
Yonge-Bay Corridor (170),2017,1132,1,136,841,187,42,37,12,1109
Yonge-Bay Corridor (170),2018,1076,1,111,842,151,31,25,11,1041
Yonge-Bay Corridor (170),2019,1087,1,91,882,180,28,27,9,1065
Yonge-Bay Corridor (170),2020,446,0,41,365,55,12,22,1,443
Yonge-Bay Corridor (170),2021,492,0,72,379,58,17,30,5,483
Yonge-Bay Corridor (170),2022,674,1,79,548,73,26,39,5,655
Yonge-Bay Corridor (170),2023,864,0,93,609,177,22,39,5,845
Yonge-Bay Corridor (170),2024,809,0,104,541,169,20,52,9,784
Yonge-Bay Corridor (170),2025,793,0,92,550,152,32,52,6,766
Yonge-Doris (151),2014,273,0,40,196,41,9,1,0,271
Yonge-Doris (151),2015,283,1,33,212,42,9,2,2,282
Yonge-Doris (151),2016,350,0,48,256,51,9,1,1,347
Yonge-Doris (151),2017,315,0,37,229,53,12,0,2,308
Yonge-Doris (151),2018,278,1,30,206,44,7,0,1,269
Yonge-Doris (151),2019,296,1,26,238,46,6,0,2,289
Yonge-Doris (151),2020,141,0,15,114,15,6,2,0,141
Yonge-Doris (151),2021,143,0,20,109,18,5,4,0,141
Yonge-Doris (151),2022,209,0,13,184,17,1,1,0,209
Yonge-Doris (151),2023,257,0,28,183,47,4,4,2,256
Yonge-Doris (151),2024,218,0,31,149,39,7,3,2,217
Yonge-Doris (151),2025,240,1,31,164,44,7,4,0,239
Yonge-Eglinton (100),2014,244,0,29,170,48,8,2,0,244
Yonge-Eglinton (100),2015,278,0,39,192,55,5,6,2,274
Yonge-Eglinton (100),2016,293,0,41,205,50,6,7,1,290
Yonge-Eglinton (100),2017,300,1,37,208,59,6,4,0,296
Yonge-Eglinton (100),2018,284,0,37,201,51,7,4,3,275
Yonge-Eglinton (100),2019,295,0,18,241,53,6,3,2,293
Yonge-Eglinton (100),2020,123,0,16,97,13,8,3,1,123
Yonge-Eglinton (100),2021,135,0,14,111,20,5,5,1,133
Yonge-Eglinton (100),2022,174,0,11,159,7,4,1,0,174
Yonge-Eglinton (100),2023,210,0,14,159,40,1,2,0,209
Yonge-Eglinton (100),2024,220,0,28,152,41,6,5,0,217
Yonge-Eglinton (100),2025,225,0,22,158,46,9,6,3,223
Yonge-St.Clair (97),2014,195,1,16,153,25,4,3,1,195
Yonge-St.Clair (97),2015,219,0,27,161,34,7,1,3,216
Yonge-St.Clair (97),2016,251,0,28,179,49,5,7,0,251
Yonge-St.Clair (97),2017,255,0,26,185,52,8,2,1,253
Yonge-St.Clair (97),2018,246,0,15,190,44,3,1,1,240
Yonge-St.Clair (97),2019,220,0,16,177,32,2,5,1,219
Yonge-St.Clair (97),2020,140,0,9,122,15,1,1,0,138
Yonge-St.Clair (97),2021,132,0,12,112,14,5,1,1,132
Yonge-St.Clair (97),2022,147,0,8,132,11,3,5,1,144
Yonge-St.Clair (97),2023,189,0,18,134,41,2,1,1,188
Yonge-St.Clair (97),2024,212,0,16,151,46,2,3,2,210
Yonge-St.Clair (97),2025,205,0,21,138,46,7,5,0,202
York University Heights (27),2014,1104,0,157,759,196,28,5,6,1100
York University Heights (27),2015,1198,0,195,829,206,36,10,8,1190
York University Heights (27),2016,1271,3,186,881,231,30,6,5,1262
York University Heights (27),2017,1248,2,185,838,262,31,8,4,1232
York University Heights (27),2018,1224,0,175,839,241,36,7,8,1183
York University Heights (27),2019,1264,2,134,1029,173,30,5,6,1243
York University Heights (27),2020,744,1,88,589,100,14,6,1,742
York University Heights (27),2021,706,3,72,560,124,17,16,4,700
York University Heights (27),2022,992,1,111,828,62,23,14,3,984
York University Heights (27),2023,1150,1,179,768,208,29,13,6,1145
York University Heights (27),2024,1053,0,194,628,233,26,14,5,1047
York University Heights (27),2025,1113,0,194,677,245,18,10,2,1103
Yorkdale-Glen Park (31),2014,945,1,100,565,285,24,8,5,938
Yorkdale-Glen Park (31),2015,954,0,110,616,247,19,13,4,948
Yorkdale-Glen Park (31),2016,1008,0,119,641,263,19,3,6,999
Yorkdale-Glen Park (31),2017,1008,0,121,633,274,26,6,3,990
Yorkdale-Glen Park (31),2018,927,1,94,596,262,29,4,1,894
Yorkdale-Glen Park (31),2019,941,1,71,739,211,16,5,3,927
Yorkdale-Glen Park (31),2020,481,1,45,390,62,12,5,2,477
Yorkdale-Glen Park (31),2021,524,2,48,419,89,8,9,5,520
Yorkdale-Glen Park (31),2022,755,0,60,639,71,14,5,0,751
Yorkdale-Glen Park (31),2023,870,0,87,555,238,15,3,2,868
Yorkdale-Glen Park (31),2024,928,0,120,537,273,19,2,3,924
Yorkdale-Glen Park (31),2025,859,0,94,520,246,10,5,2,853
