EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20051265274,10/23/2005 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051317338,11/1/2005 5:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20051293148,11/2/2005 5:00:00 AM,O'Connor-Parkview (54),NA,NA,NA,NA,NA,NA
GO-20051283750,11/5/2005 5:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20051345445,11/9/2005 5:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20051356083,11/12/2005 5:00:00 AM,Avondale (153),NA,NA,NA,NA,NA,NA
GO-20051322417,11/14/2005 5:00:00 AM,Weston-Pelham Park (91),NA,NA,NA,NA,NA,NA
GO-20051258191,11/18/2005 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051337264,11/26/2005 5:00:00 AM,Dorset Park (126),NA,NA,NA,NA,NA,NA
GO-20051428567,11/29/2005 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20051440086,12/1/2005 5:00:00 AM,NSA,NA,NA,NA,NA,NA,NA
GO-20051439907,12/16/2005 5:00:00 AM,Forest Hill North (102),NA,NA,NA,NA,NA,NA
GO-20051443414,12/23/2005 5:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-20051229258,12/26/2005 5:00:00 AM,Woodbine Corridor (64),NA,NA,NA,NA,NA,NA
GO-20061426456,1/1/2006 5:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20061557753,1/26/2006 5:00:00 AM,Bedford Park-Nortown (39),NA,NA,NA,NA,NA,NA
GO-20061361475,2/6/2006 5:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-20061511490,2/8/2006 5:00:00 AM,Flemingdon Park (44),NA,NA,NA,NA,NA,NA
GO-20061624304,2/9/2006 5:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20061624304,2/9/2006 5:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20061624304,2/9/2006 5:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20061559867,3/2/2006 5:00:00 AM,Taylor-Massey (61),NA,NA,NA,NA,NA,NA
GO-20061597252,3/4/2006 5:00:00 AM,Highland Creek (134),NA,NA,NA,NA,NA,NA
GO-20061640987,3/12/2006 5:00:00 AM,Humbermede (22),NA,NA,NA,NA,NA,NA
GO-20061591256,3/14/2006 5:00:00 AM,Scarborough Village (139),NA,NA,NA,NA,NA,NA
GO-20061479234,3/20/2006 5:00:00 AM,North St.James Town (74),NA,NA,NA,NA,NA,NA
GO-20061570672,3/27/2006 5:00:00 AM,Mount Dennis (115),NA,NA,NA,NA,NA,NA
GO-20061671071,3/27/2006 5:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
