EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141498920,2/9/2014 5:00:00 AM,Thorncliffe Park (55),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141505704,2/10/2014 5:00:00 AM,Milliken (130),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141513111,2/11/2014 5:00:00 AM,Highland Creek (134),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141515313,2/11/2014 5:00:00 AM,Danforth East York (59),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141513734,2/12/2014 5:00:00 AM,Wychwood (94),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141514640,2/11/2014 5:00:00 AM,Milliken (130),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141514830,2/11/2014 5:00:00 AM,Etobicoke City Centre (159),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141516921,2/11/2014 5:00:00 AM,Banbury-Don Mills (42),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141521717,1/5/2014 5:00:00 AM,New Toronto (18),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141521227,2/13/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141525032,2/13/2014 5:00:00 AM,Briar Hill-Belgravia (108),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141528527,2/10/2014 5:00:00 AM,Wellington Place (164),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141528073,2/13/2014 5:00:00 AM,Oakdale-Beverley Heights (154),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141527859,2/14/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141533742,2/14/2014 5:00:00 AM,Glenfield-Jane Heights (25),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141534507,2/14/2014 5:00:00 AM,Yorkdale-Glen Park (31),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141546389,2/16/2014 5:00:00 AM,Oakdale-Beverley Heights (154),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141547818,2/17/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141552352,2/18/2014 5:00:00 AM,Banbury-Don Mills (42),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141550208,2/18/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141553319,2/18/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141561384,2/19/2014 5:00:00 AM,High Park-Swansea (87),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141559364,2/19/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141563630,2/2/2014 5:00:00 AM,Rosedale-Moore Park (98),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141567545,1/14/2014 5:00:00 AM,Caledonia-Fairbank (109),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141563527,2/20/2014 5:00:00 AM,East L'Amoreaux (148),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141563619,2/20/2014 5:00:00 AM,Highland Creek (134),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141565336,2/20/2014 5:00:00 AM,Mount Pleasant East (99),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141573896,1/1/2014 5:00:00 AM,Old East York (58),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141578351,2/22/2014 5:00:00 AM,South Riverdale (70),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141581210,2/22/2014 5:00:00 AM,Bayview Village (52),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141583598,2/23/2014 5:00:00 AM,Little Portugal (84),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141586045,2/23/2014 5:00:00 AM,Dufferin Grove (83),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141587443,2/21/2014 5:00:00 AM,Glenfield-Jane Heights (25),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141587705,2/23/2014 5:00:00 AM,NSA,Theft Over,Theft Over,NA,NA,NA,NA
GO-20141589880,2/22/2014 5:00:00 AM,Kensington-Chinatown (78),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141597650,2/25/2014 5:00:00 AM,Wexford/Maryvale (119),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141595015,2/15/2014 5:00:00 AM,Yonge-Eglinton (100),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141595545,2/25/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141604934,2/20/2014 5:00:00 AM,Scarborough Village (139),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141600696,1/8/2014 5:00:00 AM,Avondale (153),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141607157,2/2/2014 5:00:00 AM,Newtonbrook East (50),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141606286,2/26/2014 5:00:00 AM,Lawrence Park North (105),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141613823,1/21/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141614923,1/29/2014 5:00:00 AM,Steeles (116),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141618191,3/1/2014 5:00:00 AM,Harbourfront-CityPlace (165),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141625740,3/2/2014 5:00:00 AM,Church-Wellesley (167),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141631391,3/2/2014 5:00:00 AM,Wellington Place (164),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141820384,3/3/2014 5:00:00 AM,Briar Hill-Belgravia (108),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141632215,1/1/2014 5:00:00 AM,Harbourfront-CityPlace (165),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141819970,10/25/2013 4:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141642959,2/27/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141646653,1/8/2014 5:00:00 AM,Rockcliffe-Smythe (111),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141650275,3/6/2014 5:00:00 AM,Wexford/Maryvale (119),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141651269,2/27/2014 5:00:00 AM,Kennedy Park (124),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141652029,2/27/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141658331,2/21/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141670830,2/27/2014 5:00:00 AM,Forest Hill South (101),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141674658,3/2/2014 5:00:00 AM,Wellington Place (164),Theft Over,Theft Over,NA,NA,NA,NA
