Neighbourhood,Crime Category,Incident Count
Junction Area (90),Robbery,159
Junction Area (90),Theft Over,92
Keelesdale-Eglinton West (110),Assault,812
Keelesdale-Eglinton West (110),Auto Theft,268
Keelesdale-Eglinton West (110),Break and Enter,243
Keelesdale-Eglinton West (110),NonMCI,308
Keelesdale-Eglinton West (110),Robbery,171
Keelesdale-Eglinton West (110),Theft Over,31
Kennedy Park (124),Assault,2524
Kennedy Park (124),Auto Theft,345
Kennedy Park (124),Break and Enter,480
Kennedy Park (124),NonMCI,737
Kennedy Park (124),Robbery,379
Kennedy Park (124),Theft Over,100
Kensington-Chinatown (78),Assault,4631
Kensington-Chinatown (78),Auto Theft,381
Kensington-Chinatown (78),Break and Enter,1674
Kensington-Chinatown (78),NonMCI,3469
Kensington-Chinatown (78),Robbery,618
Kensington-Chinatown (78),Theft Over,374
Kingsview Village-The Westway (6),Assault,1340
Kingsview Village-The Westway (6),Auto Theft,730
Kingsview Village-The Westway (6),Break and Enter,343
Kingsview Village-The Westway (6),NonMCI,773
Kingsview Village-The Westway (6),Robbery,182
Kingsview Village-The Westway (6),Theft Over,70
Kingsway South (15),Assault,372
Kingsway South (15),Auto Theft,320
Kingsway South (15),Break and Enter,307
Kingsway South (15),NonMCI,242
Kingsway South (15),Robbery,107
Kingsway South (15),Theft Over,52
L'Amoreaux West (147),Assault,1059
L'Amoreaux West (147),Auto Theft,306
L'Amoreaux West (147),Break and Enter,388
L'Amoreaux West (147),NonMCI,422
L'Amoreaux West (147),Robbery,212
L'Amoreaux West (147),Theft Over,42
Lambton Baby Point (114),Assault,353
Lambton Baby Point (114),Auto Theft,116
Lambton Baby Point (114),Break and Enter,137
Lambton Baby Point (114),NonMCI,149
Lambton Baby Point (114),Robbery,28
Lambton Baby Point (114),Theft Over,15
Lansing-Westgate (38),Assault,875
Lansing-Westgate (38),Auto Theft,488
Lansing-Westgate (38),Break and Enter,421
Lansing-Westgate (38),NonMCI,522
Lansing-Westgate (38),Robbery,120
Lansing-Westgate (38),Theft Over,90
Lawrence Park North (105),Assault,398
Lawrence Park North (105),Auto Theft,401
Lawrence Park North (105),Break and Enter,335
Lawrence Park North (105),NonMCI,435
Lawrence Park North (105),Robbery,53
Lawrence Park North (105),Theft Over,50
Lawrence Park South (103),Assault,281
Lawrence Park South (103),Auto Theft,471
Lawrence Park South (103),Break and Enter,582
Lawrence Park South (103),NonMCI,367
Lawrence Park South (103),Robbery,70
